"path","name","permissions","concurrency","has_workflow_dispatch","has_pull_request","has_push","has_issue_comment","has_release","has_schedule","updated_utc"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\inventory-ci.yml","Inventory • DocsManifest Guard","contents: write   # API 커밋에 필요","","True","True","True","False","False","True","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\klc-append-release.yml","KLC Append Release","contents: write","group: klc-append-release","True","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\klc-nightly-aggregate.yml","KLC Nightly Aggregate","contents: read","group: klc-nightly-aggregate","True","False","False","False","False","True","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\klc-validate.yml","CI · KLC v1.3 validate","(default)","","True","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\klc-verify.yml","KLC Verify","(default)","","True","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\lint-actions.yml","Lint GitHub Actions","contents: read","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\post-release-canary.yml","Post-release Canary","contents: read               # checkout 에 필요","group: post-release-canary-${{ github.ref }}","True","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\protect-manual.yml","Protect Manual","contents: read","","False","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\psanalyze.yml","PS-analyze","contents: read","group: psanalyze-${{ github.ref }}","True","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\release-docs.yml","Release Docs","contents: write","group: release-docs","True","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\release-one.yml","Release One-Click","contents: write","","True","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\weekly-auto-release-smoke.yml","Weekly Auto Release Smoke","contents: write   # 태그/릴리즈 생성·삭제","group: weekly-auto-release-smoke","True","False","False","False","False","True","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\weekly-housekeeping.yml","Weekly Housekeeping","actions: write","","True","False","False","False","False","True","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\wf-allround-tester.yml","WF Allround Tester","contents: write","group: wf-allround-${{ github.ref }}","True","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\xp-summary-artifact.yml","xp-summary-artifact","contents: read","group: xp-summary-${{ github.ref }}","True","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\@ungap\structured-clone\.github\workflows\node.js.yml","build","(default)","","False","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\fast-uri\.github\workflows\ci.yml","CI","contents: read","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\fast-uri\.github\workflows\package-manager-ci.yml","package-manager-ci","contents: read","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\fastq\.github\workflows\ci.yml","ci","(default)","","False","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\json-schema-traverse\.github\workflows\build.yml","build","(default)","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\json-schema-traverse\.github\workflows\publish.yml","publish","(default)","","False","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\reusify\.github\workflows\ci.yml","ci","(default)","","False","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\standard-version\.github\workflows\ci.yaml","ci","(default)","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\node_modules\standard-version\.github\workflows\release-please.yml","release-please","(default)","","False","False","True","False","False","False","2025-10-31T15:39:50Z"
